,0,1,2,3
0,-0.16342726,-3.1294768,0.5496287,3.0
1,-0.1549386,-3.1072607,0.7935653,3.0
2,-1.6651437,-2.3272989,1.0748938,4.0
3,-1.7304417,-2.4020255,0.99385965,4.0
4,-1.8304367,0.8961524,0.01967152,1.0
5,-1.7034471,0.74996924,0.21750642,1.0
6,-1.611581,0.8858499,0.74303555,1.0
7,-1.8527403,0.8720086,0.6651871,1.0
8,-0.33859655,-2.6507332,-0.13601908,2.0
9,-0.32074368,-3.1620023,0.0369038,2.0
10,-0.652853,-2.5429654,-0.14980263,0.0
11,-1.3160936,-2.7993026,-0.6244284,0.0
12,-1.1233592,-2.8813818,-0.3930839,0.0
13,-1.1441675,-2.910141,-0.45840314,0.0
14,-1.3226964,-2.8280451,-0.6283775,0.0
15,1.0354719,1.9496697,-1.1410885,6.0
16,0.78541535,1.2541142,-0.97932327,6.0
17,0.97885406,-0.6753304,0.66469973,3.0
18,1.0733417,-0.7230415,0.63806665,3.0
19,-0.8361364,-0.5848895,0.8782361,4.0
20,-1.0381974,-0.6386816,0.9353235,4.0
21,-1.5353808,0.74308807,0.108355135,1.0
22,-1.4142065,0.50730586,-0.008614062,1.0
23,-1.3135442,0.72724676,0.24114047,1.0
24,-1.2457929,0.83919007,0.29736236,1.0
25,0.6656155,-0.6868036,-0.63112736,2.0
26,0.59602684,-0.6579694,-0.7467667,2.0
27,-0.39345184,-0.4478129,-1.0458416,0.0
28,-0.22271107,-0.5412923,-0.71951014,0.0
29,-0.48225254,-0.5075932,-1.0101684,0.0
30,-0.2488941,-0.43888482,-0.91970783,0.0
31,-0.2615066,-0.42078996,-0.6917158,0.0
32,1.6131954,1.166321,-0.1164172,6.0
33,1.3088787,1.1827248,-0.4401876,6.0
34,0.74784815,-0.7804993,0.4112998,3.0
35,0.74484384,-0.69317096,0.443211,3.0
36,-1.0440853,-0.43600994,0.99499154,4.0
37,-0.907538,-0.47314894,0.8417962,4.0
38,-1.526116,0.89853376,0.29808366,1.0
39,-1.4289132,0.78687376,0.06269362,1.0
40,-1.23405,1.057615,0.653016,1.0
41,-1.0994002,0.9842121,0.45383593,1.0
42,0.5987803,-0.5882737,-0.5707344,2.0
43,0.5695393,-0.60193217,-0.48910332,2.0
44,-0.85529536,-0.8267988,-0.8517297,0.0
45,-0.5529741,-0.7214913,-0.9209592,0.0
46,-0.6638863,-0.78270084,-0.93105125,0.0
47,-0.49120554,-0.6773501,-0.8896146,0.0
48,-0.7084101,-0.65761524,-0.7613863,0.0
49,1.2268823,1.5680399,-0.5558914,6.0
50,1.0291272,1.5078382,-0.56566846,6.0
51,0.7428161,-0.86927783,1.4531634,3.0
52,0.82333153,-1.0764992,1.688213,3.0
53,-0.4964589,-0.48638007,1.7838134,4.0
54,-0.2188614,-0.45476836,1.6200026,4.0
55,-0.48204753,0.14153229,-1.4879864,0.0
56,1.0858512,1.7113237,-0.39147934,0.0
57,-0.87575716,0.45582417,-0.6254413,1.0
58,-0.86262286,1.0542566,-0.14253542,1.0
59,-0.6434771,1.4988949,-0.31891498,1.0
60,-0.59547126,1.1578313,-0.16024917,1.0
61,0.40580747,-0.3657354,-0.116250284,2.0
62,-0.025648464,-0.87397915,-0.19176237,2.0
63,-0.43321633,-0.86488074,-0.44398534,0.0
64,-0.5461912,-1.1455332,-0.5179691,0.0
65,-0.54172766,-1.0109098,-0.5332683,0.0
66,-0.50075275,-0.90732414,-0.5976696,0.0
67,-0.61427194,-1.1153625,-0.5495054,0.0
68,0.8810289,1.7693994,-0.17665024,6.0
69,0.8124303,2.1073098,-0.28489423,6.0
70,1.1736451,-0.41739166,0.67411834,3.0
71,1.4222541,-0.6346317,0.6953713,3.0
72,-0.27876607,-0.2408248,0.67567027,4.0
73,-0.21065114,-0.23285605,1.1468818,4.0
74,-0.7167345,0.5523618,-0.25674897,1.0
75,-0.45146304,0.5503439,-0.28139704,1.0
76,-1.3540541,0.7325802,0.10105146,1.0
77,-1.4102049,0.76539797,0.06519085,1.0
78,-0.039089944,-0.7269836,-0.4475293,0.0
79,-0.32875526,-0.62986267,-0.56973296,0.0
80,-0.016828995,-0.36599708,-0.6933498,0.0
81,-0.6354983,-0.273057,-1.0774034,0.0
82,-0.28595012,-0.27828622,-0.8051281,0.0
83,-0.2446875,-0.59903896,-0.925366,0.0
84,-0.32908288,-0.639388,-0.93165195,0.0
85,0.91477144,1.0132636,0.034329027,6.0
86,0.9958547,1.1666502,0.19514942,6.0
87,1.6072572,-1.7268096,0.49129394,3.0
88,1.8715631,-1.6118647,0.67216134,3.0
89,-1.4924159,-0.84084743,1.1251212,4.0
90,-0.7917031,-0.8264512,1.327035,4.0
91,-2.2343786,0.052840963,-0.0005189497,1.0
92,-2.1822605,0.17926909,0.18752868,1.0
93,-2.4548545,0.28867602,0.17242883,1.0
94,-2.241878,0.19006638,0.09679471,1.0
